scenario,predicted_value,median_income,monthly_rent,change_pct
"Base Case
(2024 Avg)",425322.77463444124,83730.0,1943.0,0.0
"Income +10%
(Policy Raise)",457356.7636217567,92103.00000000001,1943.0,7.531689083625535
"Rent +15%
(Supply Crunch)",429179.69691711885,83730.0,2234.45,0.9068224211582787
"Income +10%
Rent +15%",469309.8699388138,92103.00000000001,2234.45,10.342050303367559
"Income +20%
(Strong Growth)",480394.9925708723,100476.0,1943.0,12.94833505771348
